,company_size,joined,location,market,pitch,raised,signal,stage,title,website
151,,2014-11-01 00:00:00,-,College Campuses,"
Social Calendaring and Event Discovery
",$15000,3,Seed,Peck,
152,1-10,2015-02-01 00:00:00,Provo,Film,"
Moving Pictures With Our Minds
",$15000,3,Closed,Telekinesis Film Fund,telekinesisentertainment.com
153,,2015-10-01 00:00:00,New York City,Digital Media,"
Elite Counselor is a web/app based counseling and mentoring service.
",$10000,2,Seed,Elite Counselor,elitecounselor.com
154,-,2015-12-01 00:00:00,Las Vegas,Video Streaming,"
A streaming video social network for food and cooking culture
",$15000,3,Seed,Kitch.tv,Kitch.tv
155,-,2016-03-01 00:00:00,Chicago,Online Scheduling,"
A simple and easy online league management application
",$10000,2,Acquired,League Hero,leaguehero.io
156,1-10,2016-03-01 00:00:00,Hong Kong,Social Recruiting,"
Get the Best Job next to Your Home
",$12820,3,Seed,JobMap,jobmap.hk
157,11-50,2016-04-01 00:00:00,Delaware,Global,"
100% sales 0% fees.
",$15000,2,Seed,Vapulus,vapulus.com
158,1-10,2016-12-01 00:00:00,Boulder,Digital Entertainment,"
Video Games for emergent technologies
",$10000,3,Seed,No Moon,nomoon.io
159,1-10,2018-08-01 00:00:00,Solana Beach,Outdoors,"
The Smart Way To Dry Your Gear
",$11433,3,Seed,Malo'o,malooracks.com
160,-,2011-08-01 00:00:00,Scottsdale,Reviews and Recommendations,"
Publisher Stephen G. Barr Reviews Start Ups & Investor Groups
",$10000,2,Seed,The Start Up Review Journal,startupreviewjournal.blogspot.com
161,-,2012-04-01 00:00:00,Atlanta,Small and Medium Businesses,"
Pinterest/ZocDoc for small and micro enterprises
",$10000,2,-,My Friend's Lane,myfriendslane.com
162,-,2012-12-01 00:00:00,Ecublens,Consulting,"
Developing Entrepreneurial Ecosystems in low- and middle-income countries
",$10000,2,Seed,The Entrepreneurs' Ship,entrepreneursship.org
163,1-10,2013-05-01 00:00:00,London,Human Resources,"
Your workforce, flexible.
",$15000,2,Seed,Shift Swap,shiftswap.me
164,1-10,2014-03-01 00:00:00,Ann Arbor,Business Services,"
Free, easy way to learn languages online
",$12000,2,Seed,Savvy Languages,savvylanguages.com
165,1-10,2013-02-01 00:00:00,Prague,Elder Care,"
Instant Babysitting
",$10000,2,Seed,Hlídačky.cz,hlidacky.cz
166,1-10,2013-09-01 00:00:00,Santa Monica,Private Social Networking,"
Real-time fusion of LinkedIn + Snapchat + Dropbox for people & brands
",$10000,2,Seed,Syncalike,syncalike.com
167,1-10,2014-02-01 00:00:00,Valencia,Augmented Reality,"
Augmented Reality for Interactive Advertising
",$15000,2,Seed,Singular,i-singular.com
168,1-10,2014-04-01 00:00:00,Miami,Doctors,"
Cloud Platform for Professional Firms
",$10000,2,Seed,Office Network Online,officenetworkonline.com
169,1-10,2014-08-01 00:00:00,Ho Chi Minh City,South East Asia,"
Peer-to-peer lending platform for emerging markets
",$10000,2,Seed,LoanVi.com,loanvi.com
170,-,2014-06-01 00:00:00,Paris,Video Streaming,"
Collaborative music videos
",$10000,2,,Whojam,whojam.com
171,1-10,2014-10-01 00:00:00,San Jose,Startups,"
Product Hunt meets Kickstarter
",$13000,2,Seed,The BetaBox,secret
172,1-10,2015-04-01 00:00:00,Los Angeles,Self Storage,"
Crowdsourced goods storage. Airbnb of self-storage.
",$15000,2,Seed,Dinobo,dinobo.com
173,1-10,2015-12-01 00:00:00,San Francisco,Legal,"
We are a PACER.gov  research and  productivity application
",$10000,2,Seed,Pacer Automated Solutions,pacerautomatedsolutions.com
174,11-50,2016-04-01 00:00:00,Delhi,Fashion Tech,"
Vernacular Fashion Only App
",$10000,2,Seed,Kakcho,kakcho.com
175,1-10,2016-07-01 00:00:00,Charleston,Hospitality,"
Hospitality Staffing, Local and Effective
",$15000,2,Seed,Arkansas Food Jobs / Food Jobs Work,arfoodjobs.com
176,1-10,2016-04-01 00:00:00,São Paulo,Fin Tech,"
All about fintechs in Brazil
",$15000,2,,Fintechs.com.br,fintechs.com.br
177,-,2016-08-01 00:00:00,-,-,"
",$10000,2,Seed,KUSIKUY,-
178,1-10,2017-01-01 00:00:00,Philadelphia,Internet of Things,"
Access & Identity as a service - for the physical world
",$15000,2,Closed,GuestOf,guestofapp.com
179,1-10,2017-01-01 00:00:00,Mexico City,Art,"
Galería en línea de artistas emergentes y precios accesibles 
",$10000,2,Seed,"Estudio Actual, Arte para Todos",estudioactual.com
180,-,2012-05-01 00:00:00,Prague,Restaurants,"
Interactive menu for the iPad
",$15000,2,Seed,Spectu,spectu.com
181,1-10,2013-01-01 00:00:00,Montreal,Human Resources,"
Employee Performance Management through tiny feedback
",$10000,2,Seed,Dotted Block,dottedblock.com
182,-,2012-09-01 00:00:00,San Antonio,Social Media Platforms,"
What if SalesGenie paid you?
",$11000,2,Seed,1010 MagApp,golivemagazine.com
183,-,2012-12-01 00:00:00,Toronto,Transportation,"
Finally - a mover you can trust
",$15000,2,Seed,Firemen Movers,firemenmovers.com
184,1-10,2013-01-01 00:00:00,Cairo Governorate,Private Social Networking,"
Etsy for the Middle East
",$12000,2,Seed,CIRQY,cirqy.com
185,1-10,2013-06-01 00:00:00,Bengaluru,Sharing Economy,"
On-demand local travel experiences
",$10000,2,Seed,Padhaaro,padhaaro.com
186,1-10,2014-01-01 00:00:00,Atlanta,Fashion,"
Shoes with a touch of purple making everyone feel like royalty
",$10000,2,Seed,Indigoz (purple bottoms),Indigozpurplebottoms.net
187,1-10,2014-04-01 00:00:00,Malmö,Location Based Services,"
Makers of TakeOver - The World - the location aware, crypto-currency MMORPG
",$15000,2,Seed,NuGames Studios Sweden AB,takeover.to
188,-,2014-08-01 00:00:00,United States,Online Shopping,"
",$15000,2,-,Haversack,-
189,-,2014-08-01 00:00:00,Memphis,Technology,"
",$15000,2,-,CloudAptitude,cloudaptitude.com
190,-,2014-08-01 00:00:00,Memphis,Software,"
",$15000,2,-,Safety Hound,safetyhound.com
191,1-10,2015-04-01 00:00:00,Dublin,Mobile Payments,"
Bundly is a proprietary, cross-platform, free contact management platform for smartphones.
",€15000,2,Closed,Bundly,bundly.io
192,1-10,2016-03-01 00:00:00,Tallinn,Mobile Games,"
Great professionals and brilliant teams united to disrupt the F2P market.
",$12500,2,Seed,Appevo Studios,appevostudio.com
193,1-10,2015-02-01 00:00:00,London,Neuroscience,"
personality evaluation platform based on neuroscience
",$15000,2,Seed,recualizer,recualizer.com
194,1-10,2015-03-01 00:00:00,London,Women-Focused,"
Expect more from your wardrobe. No sweatshops, no photoshop.
",£15000,2,Seed,Birdsong,birdsong.london
195,-,2015-04-01 00:00:00,London,Fitness,"
Bet on your weight loss
",£15000,2,Seed,BetWeight,betweight.com
196,1-10,2018-03-01 00:00:00,New York City,-,"
",$15000,2,Seed,App Viper,appviper.com
197,1-10,2015-09-01 00:00:00,Lisbon,Events,"
Marketplace for corporative events
",$15000,2,Seed,WiC,wic.club
198,1-10,2016-03-01 00:00:00,Kingston Parish,Telemedicine,"
Bringing quality healthcare to every doorstep and community.
",$10000,2,Seed,QuikClinik Telehealth Services,quikclinik.com
199,-,2017-01-01 00:00:00,Mexico City,Wine And Spirits,"
We are the house of the best tasting, responsible and handcrafted spirits in the world.
",$10000,2,Seed,Agua Piedra Mezcal &amp; Co.,aguapiedramezcal.com
200,1-10,2011-02-01 00:00:00,San Francisco,iPhone,"
Donkey Kong meets Mad Men
",$10000,2,,KissAppGames,kissappgames.com
201,1-10,2013-04-01 00:00:00,Kumasi,Mobile,"
Using ICTs to communicate audio content to smallholder farmers across West Africa
",$10000,2,Seed,Farmerline,farmerline.org
202,1-10,2012-10-01 00:00:00,Prague,Real Estate,"
",$15000,2,Seed,RealPad CRM,realpad.eu
203,1-10,2013-06-01 00:00:00,New York City,Social Media Platforms,"
Social dream journal for iPhone
",$11300,2,,IceDreamApp,icedreamapp.com
204,1-10,2013-08-01 00:00:00,Sacramento,Brand Marketing,"
100% Solar Powered Community Recording Studio
",$14000,2,Acquired,6C Rock Candy,Website
205,-,2013-10-01 00:00:00,Nairobi,Ticketing,"
Bus Tickets Online
",$15000,2,Seed,BookNow,booknow.co.ke
206,-,2013-11-01 00:00:00,Toronto,B2B,"
Global database of legitimate partnership requests
",$10000,2,,PartnerConnection,partnerconnection.org
207,1-10,2014-01-01 00:00:00,Chicago,Small and Medium Businesses,"
Google Voice for Business Owners
",$10000,2,Seed,Talkroute,talkroute.com
208,1-10,2014-05-01 00:00:00,Tijuana,Latin America,"
Rent collecting web platform
",$10000,2,Seed,NewHaus,newhaus.com.mx
209,1-10,2014-12-01 00:00:00,San Diego,Apps,"
Beautiful Music Education Apps & Practice Tools
",$12785,2,,Music Loft Apps,musicloftapps.com
210,1-10,2015-10-01 00:00:00,La Plata,Mobile Commerce,"
",$10000,2,Seed,Pixivus,pixivus.com
211,1-10,2014-10-01 00:00:00,United States,Raleigh NC,"
Books for Bitcoin
",$10000,2,Seed,Coinamp,coinamp.com
212,1-10,2015-01-01 00:00:00,Toronto,Fitness,"
Modernized Condominium Fitness Services
",$12000,2,Seed,Rise Fitness,risefitness.ca
213,1-10,2014-11-01 00:00:00,Granada,Illustrations,"
“Con Picxe, tienes tu portfolio y tienda online en un único sitio""  
",$15000,2,,picxe,picxe.com
214,1-10,2014-12-01 00:00:00,Gurgaon,Legal Tech,"
Reinventing TripAdvidor for High-Value Products (Acquired)
",$10000,2,Seed,Amicus Shopping Assistant,amicshop.com
215,1-10,2015-01-01 00:00:00,New York City,Mobile Advertising,"
Scavenger hunts for new and exclusive products
",$10000,2,,Hypeist,hypeist.com
216,1-10,2015-04-01 00:00:00,Moscow,Human Resources,"
Smart aggregator of best offers for freelancers, fast, in real time
",$10000,2,Seed,SpyLance,spylance.com
217,1-10,2016-05-01 00:00:00,London,Fin Tech,"
Your Impartial Money Guide
",$15000,2,Seed,Mespo,mespo.co.uk
218,1-10,2016-07-01 00:00:00,Hyderabad,Reviews and Recommendations,"
Extracts meaningful information from millions of customer reviews
",$14925,2,Seed,FeltSo,feltso.com
219,-,2016-10-01 00:00:00,San Francisco,Crowdfunding,"
Charity crowdfunding platform for athletes
",$10000,2,Closed,PlayCause,playcause.com
220,1-10,2011-08-01 00:00:00,San Francisco,Content,"
Social web clipping tool for intellectual people to store and socialize
",$10000,2,Seed,MARRO.WS,marro.ws
221,-,2012-08-01 00:00:00,Columbus,Crowdsourcing,"
Crowdfunding's Search Engine. There's too many sites to navigate. Welcome to Crowd Control
",$14500,2,Seed,Stand Offer,StandOffer.com
222,1-10,2013-04-01 00:00:00,New York City,Rental Housing,"
Streamlining the Rental Process in NYC
",$10000,2,Seed,LeasePass,leasepass.com
223,1-10,2012-09-01 00:00:00,Bethlehem,Government Innovation,"
Transforming How & Where Enterprise Organization Collect, Visualize, & Utilize Field Data.
",$13200,2,-,Map Decisions,MapDecisions.com
224,-,2012-10-01 00:00:00,-,-,"
",$10000,2,-,Intellecap,-
225,1-10,2013-04-01 00:00:00,Philadelphia,Mobile,"
Microsoft Kinect made portable using magnetic waves
",$10000,2,,Touch-Not,touch-not.com
226,1-10,2013-06-01 00:00:00,Davis,Mobile Commerce,"
Gilt Groupe for College Students
",$10000,2,-,Greekdrop,greekdrop.com
227,1-10,2014-08-01 00:00:00,Hong Kong,Location Based Services,"
Travel globally  Visit Locally
",$12800,2,Seed,Hippomap,hippomap.com
228,1-10,2013-10-01 00:00:00,San Francisco,Gadget,"
Wearable Technology Creative Agency
",$10000,2,,GPOP,gpop.us
229,1-10,2013-12-01 00:00:00,Miami,Industrial Automation,"
Engineering Infrastructure High Density, High Throughput Storage
",$15000,2,Seed,"HLSA, LLC  High Level Storage Automation",hlsa.co
230,1-10,2013-11-01 00:00:00,Kolkata,Doctors,"
MEDICAL EQUIPMENTS- BIOMEDICAL SOLUTIONS
",$10000,2,Seed,TRUTH BIOMEDICAL,truthbiomedical.com
231,1-10,2016-01-01 00:00:00,Boston,Consulting,"
making start-ups thrive
",$10000,2,Seed,Healey Engineering,healeyengineering.com
232,1-10,2014-08-01 00:00:00,-,Recruiting,"
YOUR ONE STOP FIRM FOR YOUR DIGITAL TALENT REQUIREMENTS
",$10000,2,Seed,Vuxid,vuxid.com
233,1-10,2015-01-01 00:00:00,Israel,Mobile Advertising,"
Siri meets Google-now
",$10000,2,Seed,ekoTail,ekotail.com
234,1-10,2015-05-01 00:00:00,Washington DC,Rental Housing,"
The DC-only subleasing auction house.
",$10000,2,Seed,Roamer,roamer.io
235,1-10,2015-11-01 00:00:00,Winston-Salem,Nonprofits,"
FinTech platform for giving. Not a merchant. Donor and community centered model.
",$10000,2,Seed,ONE DONATION,passtheplate.org
236,,2016-02-01 00:00:00,Berkeley,Food and Beverages,"
Marketplace for homemade food
",$12000,2,,Munch,eatmunch.com
237,1-10,2016-11-01 00:00:00,Pireas,Internet of Things,"
Nest: Home but for farmers!
",$10000,2,Seed,Agrologies,agrologies.com
238,1-10,2017-03-01 00:00:00,San Francisco,Influencer Marketing,"
Data Driven Influencer Marketing 
",$10000,2,Seed,Blanket Media,blanket.media
239,11-50,2017-04-01 00:00:00,London,Startups,"
SEO and B2B Lead Generation Agency
",$12000,2,Seed,Pearl Lemon,pearllemon.com
240,1-10,2012-11-01 00:00:00,Boston,Social Media Platforms,"
Crowd sourced Media Production
",$15000,2,Seed,Fantome Media,fantomefilms.com
241,1-10,2013-01-01 00:00:00,-,-,"
Tangible Asset Investing (mREIT)
",$10000,2,Seed,The JI Group,
242,1-10,2013-04-01 00:00:00,Washington DC,Mobile Advertising,"
Tangible rewards for academic achievement.
",$12000,2,,My Study Rewards,mystudyrewards.com
243,1-10,2013-06-01 00:00:00,Palo Alto,Social Recruiting,"
Real-time market value of ""YOU"". Zillow or KBB - of people! 
",$10000,2,Seed,UpStep,theupstep.com
244,1-10,2016-11-01 00:00:00,Boulder,Inbound Marketing,"
The Tech Guru's to Grow Your Startup!
",$10000,2,Seed,Nimbus,nimbusinbound.com
245,1-10,2014-01-01 00:00:00,Philadelphia,Social Travel,"
MeetMe for Travel
",$10000,2,,Glide Vacations,glide.cc
246,1-10,2014-10-01 00:00:00,Loveland,Restaurants,"
Your neighborhood Date Planning Superhero
",$15000,2,,DateKnight,dateknight.co
247,,2014-05-01 00:00:00,Zurich,Sports,"
Intuitive hockey-coaching organizer
",$10000,2,Seed,KID (Kostovic Interaction Design),master.design.zhdk.ch
248,,2014-11-01 00:00:00,-,Restaurants,"
Neighbor-Friendly Food Delivery
",$12500,2,Seed,Greedi,EatGreedi.com
249,1-10,2014-12-01 00:00:00,Silver Spring,University Students,"
Service Marketplace for College 
",$10000,2,,BangBangWo,ubangbangwo.com
250,1-10,2015-02-01 00:00:00,Taiwan,Open Source,"
Build better and personal web of things.
",$10000,2,Seed,WoT.City,wotcity.com
251,1-10,2015-03-01 00:00:00,Singapore,Mobile Payments,"
Mobile Payments for Vending
",$10000,2,Seed,VENDi,hellovendi.com
252,1-10,2015-09-01 00:00:00,Seoul,Groceries,"
Fresh Groceries Delivered in 1 Hour
",$10000,2,Seed,Epicerie,epicerie.kr
253,1-10,2015-09-01 00:00:00,Columbus,Online Dating,"
It's Pandora's Adaptive Music Engine, but for Dating (powered by IBM's Watson A.I.)
",$15000,2,Seed,Excited,ExcitedApp.com
254,1-10,2015-10-01 00:00:00,New Jersey,Mobile Advertising,"
Provider of Apps
",$15000,2,Seed,XV Establishments,xvestablishments.com
255,1-10,2016-05-01 00:00:00,Mexico,Shipping,"
An API platform for the ultimate shipping experience in Latin America.
",$14300,2,Seed,Pack&amp;Pack,packandpack.com
256,,2015-12-01 00:00:00,Latvia,Studio,"
We build consumer products
",$10000,2,Seed,Phantlab,phantlab.com
257,11-50,2016-01-01 00:00:00,Indianapolis,Technology,"
Everyday Lending for Everyday People
",$10000,2,Seed,skye Lending Company,theskyeapp.com
258,-,2016-04-01 00:00:00,Asheville,Commercial Solar,"
Solar Software
",$15000,2,Seed,Gen Com,renewfi.com
259,1-10,2016-09-01 00:00:00,Sofia,Electric Vehicles,"
We develop the next generation of scooters and sharing platforms.
",$10000,2,Seed,Narcine,narcine.com
260,-,2011-11-01 00:00:00,Washington DC,Robotics,"
Open source miniature motherboard
",$13100,2,-,Upgrade Industries,upgradeindustries.com
261,-,2012-10-01 00:00:00,Zagreb,Nonprofits,"
Crowdfunding for NGOs
",$12000,2,Seed,Doniralica,doniralica.hr
262,1-10,2012-11-01 00:00:00,Bengaluru,Electronics,"
Board games, toys and electronics
",$10000,2,Seed,Geekybuddha,geekybuddha.com
263,1-10,2013-05-01 00:00:00,New York City,Tutoring,"
On-Demand Homework Assistance
",$10000,2,,Confusing Homework,confusinghomework.com
264,-,2013-01-01 00:00:00,Brighton,Events,"
Better event management and payments
",$14000,2,Seed,Event Alpha,eventalpha.com
265,1-10,2013-08-01 00:00:00,Syracuse,Personal Finance,"
We allow advisors to create dynamic reports that respond to client questions & concerns.
",$10000,2,Seed,MarketVuze,marketvuze.com
266,1-10,2014-05-01 00:00:00,Gent,Customer Support Tools,"
The step-by-step user guide for the Internet
",$11567,2,Seed,WalkHub,walkhub.net
267,1-10,2013-06-01 00:00:00,Querétaro,Politics,"
Internet and social networks analytics for politicians and government social communication
",$15000,2,Seed,NetSenser,
268,1-10,2013-11-01 00:00:00,Geneva,Bitcoin,"
BTC Hosting  / ALT-COIN dev.
",$10300,2,Acquired,BTC Hosting / Accounting / ALT-COIN dev.,forexexcellenceau.ilq.com
269,1-10,2013-12-01 00:00:00,Seattle,Manufacturing,"
3D printing supplies, services, software & hardware for the education sector
",$10000,2,Seed,Savant America,3DforED.com
270,1-10,2014-02-01 00:00:00,Houston,Consumer Electronics,"
Alternative To Cigarettes
",$15000,2,,Imperial Developments,htownvape.net
271,1-10,2014-05-01 00:00:00,Buenos Aires Province,Virtual Reality,"
Virtual reality world
",$11200,2,,Unbound VR,unboundvr.com
272,,2014-05-01 00:00:00,Columbus,Consumer Electronics,"
Electronic Cigarette Retail Chain
",$12500,2,Seed,Crusader Vapor,Website
273,1-10,2014-10-01 00:00:00,London,Retail Technology,"
We're developing a ‘Fashion Recommendation Engine’ for new levels of personalisation
",£10000,2,Seed,Looks Good On Me,looksgoodonme.com
274,,2014-11-01 00:00:00,Egypt,Mobile Games,"
A mobile games company.
",$10000,2,Seed,Spyros Games,spyros-games.com
275,,2015-04-01 00:00:00,New York City,Automotive,"
Car owner's best friend
",$15000,2,,Carmatic,carmatic.co
276,,2016-04-01 00:00:00,Ukraine,Location Based Services,"
Foursquare and WhatsApp merged in one app.
",$10000,2,Seed,Spottle,spottle.me
277,,2015-12-01 00:00:00,San Francisco,Social Recruiting,"
PROVIDING INMATES AND EX-INMATES JOBS TO BETTER THE ECONOMY
",$10000,2,Closed,Street Smartly,streetsmartly.com
278,-,2016-04-01 00:00:00,Tallinn,Energy Efficiency,"
Affordable renewable energy from the ocean
",€10000,2,Seed,Lainergy,f6s.com
279,1-10,2016-07-01 00:00:00,Delhi,Pets,"
A box of high quality dog products delivered to your doorstep monthly.
",$10000,2,Seed,Petdom PaWish,pawish.petdom.in
280,1-10,2013-03-01 00:00:00,Hamilton,Fitness,"
Customizable video-exercise plans 
",$15000,2,Series A,Cinetic Health,getcinetic.com
281,1-10,2013-03-01 00:00:00,Dublin,SaaS,"
Social collaboration software for Enterprise, we make teamwork visible
",$15000,2,Seed,Task Messenger,taskmessenger.com
282,1-10,2013-07-01 00:00:00,Bangladesh,Creative,"
Read and Write in Bangla
",$15000,2,Seed,Color Talking,colortalking.com
283,1-10,2013-07-01 00:00:00,Cebu City,Taxis,"
Fleet Management and Digital Advertising
",$12500,2,Seed,Micab,micab.co
284,1-10,2013-10-01 00:00:00,San Diego,Video Streaming,"
Charity Based Social Network Bringing Users Face-to-Face w/ Favorite Celebrities!!
",$15000,2,Acquired,StarSpot Live,starspotlive.com
285,1-10,2014-03-01 00:00:00,Los Angeles,Art,"
Mainstream Fashion for Autism Advocacy
",$10000,2,,Perel Clothing,PerelClothing.com
286,1-10,2014-05-01 00:00:00,New York City,Social Media Platforms,"
change becomes mobile
",$10000,2,Seed,PettyBank,pettybank.com
287,1-10,2014-07-01 00:00:00,Mexico City,University Students,"
E-learning + Online Employment (Udemy + Monster)
",$10000,2,Seed,Clouddemy,clouddemy.com
288,1-10,2014-08-01 00:00:00,Dhaka,Usa,"
360° premium quality t-shirt service
",$13699,2,Series B,T-ZONE,tzonebd.com
289,,2014-10-01 00:00:00,Richmond,Health And Safety,"
One Patient Record for quicker patient registration.
",$10000,2,Seed,OneRec,onerec.co
290,11-50,2014-12-01 00:00:00,-,Credit,"
Online Loan Marketplace
",$12000,2,Seed,finrek,finrek.com
291,1-10,2015-01-01 00:00:00,Bengaluru,Content Discovery,"
Discover products through videos
",$12000,2,Seed,Pollseye,pollseye.com
292,1-10,2015-05-01 00:00:00,Saint Petersburg,B2B,"
Cloud platform based on a managed container system for deploying and running modern apps.
",$15000,2,,Last.Backend,lastbackend.com
293,1-10,2015-04-01 00:00:00,Huntington Beach,-,"
Basketball Attachment Lights and Speakers
",$10000,2,Seed,Baller Lights,BallerLights.com
294,1-10,2015-06-01 00:00:00,San Francisco,Wine And Spirits,"
Your Vineyard Matchmaker
",$10000,2,Seed,Pick Your Vine,pickyourvine.com
